,id,gender,car,realty,cnt_children,income,income_type,education_type,fam_status,housing_type,mobile_phone,work_phone,phone,email,job_title,cnt_fam_members,age,work_experience,bad_debt,good_debt,status
1820,5022184,f,0,0,1,135000,commercial_associate,secondary,separated,house,1,0,0,0,high_skill_tech_staff,2,42,22,0,3,1
3273,5024883,m,0,0,0,180000,working,secondary,single,rented_apartment,1,0,0,0,sales_staff,1,24,4,0,16,1
16922,5105163,m,0,1,2,450000,commercial_associate,higher_education,married,house,1,1,1,0,managers,4,34,6,0,35,1
15678,5095734,m,1,0,2,178200,working,higher_education,married,house,1,0,1,0,core_staff,4,31,5,0,3,1
16494,5099974,f,0,0,0,180000,working,secondary,civil_marriage,house,1,0,1,0,security_staff,2,28,5,0,40,1
5841,5041230,f,0,1,0,81000,working,secondary,married,house,1,1,1,0,medicine_staff,2,47,29,1,9,1
16520,5100013,f,0,1,1,180000,commercial_associate,higher_education,married,house,1,0,1,0,accountants,3,49,25,0,15,1
22444,5137396,m,0,0,1,180000,commercial_associate,lower_secondary,married,house,1,1,0,0,laborers,3,30,7,0,23,1
8272,5053026,f,1,1,0,90000,working,secondary,married,house,1,1,1,0,sales_staff,2,41,2,0,2,1
21493,5126819,m,0,1,1,157500,commercial_associate,secondary,married,house,1,0,1,1,laborers,3,30,7,0,20,1
12181,5069280,f,0,1,1,315000,working,secondary,married,house,1,0,1,0,core_staff,3,45,12,1,39,1
1642,5021800,f,0,1,0,225000,commercial_associate,secondary,married,house,1,0,0,0,core_staff,2,34,1,0,13,1
15773,5095967,f,0,0,0,135000,working,secondary,married,house,1,1,0,0,managers,2,45,21,0,1,1
7424,5048178,m,1,0,0,148500,working,secondary,civil_marriage,house,1,1,1,0,laborers,2,31,10,0,8,1
23550,5143355,m,1,0,0,135000,working,secondary,married,house,1,1,0,0,sales_staff,2,29,4,0,16,1
24881,5149865,f,0,1,2,157500,working,secondary,separated,house,1,0,0,0,laborers,3,38,4,0,19,1
15271,5092480,f,0,0,1,85500,state_servant,secondary,married,municipal_apartment,1,0,0,0,core_staff,3,42,19,0,45,1
15866,5096093,f,0,0,1,135000,working,secondary,married,house,1,1,1,0,accountants,3,30,5,3,29,1
2455,5023390,m,1,1,2,157500,commercial_associate,higher_education,married,house,1,0,0,0,core_staff,4,38,6,0,45,1
4868,5033888,m,1,1,0,135000,commercial_associate,higher_education,civil_marriage,house,1,1,1,0,sales_staff,2,26,3,0,7,1
10168,5062506,m,1,1,0,270000,working,secondary,single,house,1,0,0,0,sales_staff,1,25,5,1,12,1
8499,5053499,f,1,0,1,112500,commercial_associate,secondary,married,office_apartment,1,0,0,0,accountants,3,40,8,0,5,1
15217,5092381,f,0,1,0,153000,working,secondary,widow,house,1,1,0,0,laborers,1,36,7,0,34,1
12017,5069005,m,1,1,0,337500,working,higher_education,married,with_parents,1,0,0,0,laborers,2,30,4,0,10,1
17484,5106137,m,1,1,0,126000,working,secondary,separated,house,1,1,1,0,drivers,1,51,1,1,24,1
23976,5146339,f,0,1,0,202500,commercial_associate,secondary,married,house,1,0,0,0,sales_staff,2,45,2,0,11,1
16378,5099745,f,0,1,1,135000,working,secondary,married,house,1,1,1,0,laborers,3,28,9,0,6,1
22446,5137398,m,0,0,1,180000,commercial_associate,lower_secondary,married,house,1,1,0,0,laborers,3,30,7,0,21,1
9494,5058513,m,0,1,1,180000,commercial_associate,secondary,married,house,1,0,0,0,drivers,3,24,3,0,3,1
11518,5068232,m,0,1,1,112500,state_servant,secondary,married,house,1,0,0,0,laborers,3,39,1,0,22,1
20672,5125327,f,1,0,0,135000,working,secondary,civil_marriage,with_parents,1,0,1,0,sales_staff,2,28,2,1,6,1
6893,5046019,m,1,1,1,247500,state_servant,secondary,married,house,1,0,0,0,managers,3,33,10,0,50,1
24875,5149857,m,1,0,0,112500,commercial_associate,secondary,separated,house,1,0,0,0,laborers,1,27,6,3,32,1
22021,5135752,f,0,0,0,117000,state_servant,secondary,single,house,1,0,0,0,hr_staff,1,25,3,0,15,1
19542,5116877,f,0,1,0,225000,working,secondary,married,house,1,0,0,0,medicine_staff,2,38,12,0,49,1
18808,5115523,f,0,1,3,112500,working,secondary,married,house,1,0,0,0,core_staff,5,36,11,0,29,1
18839,5115593,f,0,1,0,166500,working,higher_education,single,house,1,0,0,0,high_skill_tech_staff,1,45,20,0,5,1
7374,5048060,m,0,1,0,292500,commercial_associate,higher_education,married,house,1,0,0,0,laborers,2,45,3,0,24,1
18966,5115809,f,1,1,2,90000,working,higher_education,married,house,1,1,1,0,accountants,4,32,6,0,4,1
24230,5148773,m,1,1,0,144000,working,secondary,married,house,1,0,1,0,sales_staff,2,29,7,0,41,1
9429,5058376,f,0,1,1,225000,working,higher_education,married,house,1,0,0,0,drivers,3,32,3,0,8,1
726,5010078,m,1,0,2,157500,working,secondary,married,municipal_apartment,1,0,0,0,cleaning_staff,4,35,4,0,11,1
8948,5054260,m,0,0,0,202500,working,secondary,married,house,1,1,0,0,laborers,2,28,8,0,9,1
21335,5126478,f,0,0,0,76500,state_servant,secondary,civil_marriage,house,1,1,1,0,medicine_staff,2,48,18,0,47,1
6352,5042333,f,0,1,1,90000,working,higher_education,married,house,1,0,0,0,laborers,3,29,7,0,15,1
8756,5053928,f,0,0,0,270000,working,secondary,married,house,1,1,1,0,drivers,2,51,25,0,32,1
988,5010591,m,1,1,1,180000,working,secondary,married,house,1,0,0,0,managers,3,47,10,0,8,1
24615,5149436,m,1,1,2,315000,working,higher_education,married,house,1,0,0,1,high_skill_tech_staff,4,37,6,0,21,1
24911,5149901,f,0,1,0,126000,working,higher_education,married,house,1,0,0,0,core_staff,2,49,3,0,12,1
18066,5113434,f,0,1,0,207000,working,secondary,single,house,1,0,0,0,cooking_staff,1,51,7,0,5,1
7329,5048002,f,0,0,0,162000,commercial_associate,secondary,married,house,1,0,0,0,core_staff,2,55,19,0,10,1
1244,5011000,f,0,1,0,90000,working,secondary,married,house,1,0,0,0,medicine_staff,2,55,1,1,29,1
12803,5085788,f,0,1,3,157500,working,higher_education,married,house,1,0,0,0,accountants,5,40,1,0,26,1
9001,5054332,m,0,0,0,126000,working,secondary,married,house,1,1,0,0,laborers,2,63,27,0,14,1
21600,5132647,f,1,1,1,63000,working,secondary,civil_marriage,house,1,1,1,0,sales_staff,3,38,4,0,17,1
11283,5067764,f,0,1,0,202500,state_servant,secondary,single,house,1,0,0,0,medicine_staff,1,64,15,0,10,1
9694,5061427,f,0,1,0,202500,working,secondary,married,house,1,0,0,0,sales_staff,2,45,14,1,36,1
2007,5022560,f,0,1,1,225000,working,higher_education,married,house,1,0,0,0,sales_staff,3,36,4,0,13,1
25117,5150475,m,1,1,0,202500,working,secondary,civil_marriage,house,1,1,0,0,laborers,2,30,4,0,44,1
13244,5088725,f,0,1,1,90000,working,secondary,married,house,1,0,0,0,high_skill_tech_staff,3,46,4,0,12,1
16021,5096396,f,0,0,0,112500,working,secondary,civil_marriage,municipal_apartment,1,1,0,0,core_staff,2,39,4,0,13,1
23216,5142779,m,1,0,2,157500,working,secondary,separated,with_parents,1,0,0,0,laborers,3,39,5,0,36,1
22661,5139811,m,0,1,0,108000,working,secondary,married,house,1,1,1,0,laborers,2,44,21,0,25,1
23789,5145905,f,0,1,0,193500,working,higher_education,married,house,1,0,0,0,high_skill_tech_staff,2,58,20,0,42,1
22706,5139953,m,1,1,0,135000,working,higher_education,married,house,1,1,1,0,managers,2,33,2,3,9,1
8600,5053677,f,1,1,0,225000,commercial_associate,secondary,single,house,1,0,1,0,high_skill_tech_staff,1,34,4,9,35,1
8871,5054153,f,0,0,0,67500,working,secondary,single,house,1,0,1,0,laborers,1,55,14,0,14,1
10624,5066442,f,0,1,2,225000,working,secondary,civil_marriage,house,1,0,0,1,sales_staff,4,31,5,0,26,1
1149,5010832,f,1,1,0,270000,working,secondary,married,house,1,0,0,0,high_skill_tech_staff,2,36,5,0,27,1
5866,5041354,m,1,0,0,225000,working,secondary,married,house,1,0,0,0,laborers,2,28,2,0,5,1
12378,5074669,m,0,1,0,247500,state_servant,secondary,married,house,1,0,0,0,medicine_staff,2,38,15,0,20,1
17381,5105980,m,0,0,0,225000,state_servant,secondary,married,house,1,1,1,0,drivers,2,42,1,0,20,1
630,5009906,m,1,0,0,202500,working,secondary,married,house,1,0,0,0,drivers,2,53,11,0,31,1
22166,5136020,m,1,0,1,351000,commercial_associate,secondary,married,house,1,0,0,0,private_service_staff,3,45,24,0,14,1
10221,5062609,f,0,0,1,135000,commercial_associate,secondary,separated,house,1,0,0,0,private_service_staff,2,30,8,0,3,1
17810,5113011,m,1,0,0,90000,commercial_associate,secondary,married,house,1,1,1,0,laborers,2,32,6,0,32,1
20544,5118638,m,1,0,0,900000,state_servant,higher_education,married,house,1,0,1,0,core_staff,2,65,6,0,20,1
6803,5045855,f,1,1,2,315000,commercial_associate,higher_education,married,with_parents,1,0,0,0,managers,4,35,4,0,1,1
19305,5116430,f,0,1,1,112500,working,secondary,married,house,1,0,0,1,sales_staff,3,28,6,0,6,1
16617,5100211,m,0,1,2,135000,working,secondary,married,house,1,1,0,0,laborers,4,38,2,2,41,1
4613,5029805,m,1,0,1,238500,working,higher_education,married,with_parents,1,1,1,0,drivers,3,32,6,0,28,1
12264,5069428,m,1,1,0,202500,working,secondary,married,municipal_apartment,1,0,1,0,sales_staff,2,47,1,5,43,1
24542,5149318,f,1,1,1,180000,working,higher_education,separated,house,1,0,0,0,managers,2,52,17,0,8,1
16530,5100023,f,1,0,1,157500,working,secondary,married,house,1,0,0,0,sales_staff,3,41,3,0,39,1
18691,5114575,f,0,1,0,180000,working,secondary,married,house,1,0,0,0,core_staff,2,61,12,0,35,1
21023,5125950,f,0,1,0,135000,working,secondary,married,rented_apartment,1,0,0,0,laborers,2,40,8,1,23,1
3008,5024411,f,0,1,1,121500,working,secondary,married,house,1,0,0,0,sales_staff,3,42,9,0,6,1
21165,5126154,f,0,0,0,135000,working,secondary,widow,house,1,1,1,0,laborers,1,44,2,3,36,1
776,5010182,m,0,0,1,247500,working,secondary,single,house,1,0,1,0,laborers,2,46,19,0,38,1
405,5009450,f,0,0,0,202500,state_servant,higher_education,married,house,1,0,1,0,laborers,2,48,4,0,23,1
23050,5142500,f,1,1,1,135000,commercial_associate,higher_education,married,house,1,0,0,0,private_service_staff,3,43,8,0,3,1
25092,5150390,f,1,1,1,315000,commercial_associate,secondary,married,municipal_apartment,1,0,0,0,medicine_staff,3,45,22,0,42,1
41,5008862,f,1,1,2,135000,working,secondary,married,house,1,0,0,0,laborers,4,44,9,0,3,1
8009,5051154,m,0,0,1,247500,working,higher_education,single,house,1,0,0,0,laborers,2,38,6,0,40,1
602,5009852,m,1,0,0,360000,commercial_associate,secondary,separated,with_parents,1,1,1,0,drivers,1,29,2,0,7,1
1656,5021827,f,0,1,0,166500,working,incomplete_higher,married,house,1,0,0,0,laborers,2,37,6,0,17,1
11450,5068097,f,1,1,1,234000,commercial_associate,secondary,married,house,1,0,0,0,sales_staff,3,30,5,0,4,1
8868,5054150,f,0,0,0,135000,working,higher_education,married,house,1,1,0,0,laborers,2,37,8,0,33,1
20323,5118295,f,0,0,2,139500,working,incomplete_higher,married,with_parents,1,1,1,0,core_staff,4,37,9,0,25,1
19071,5115992,m,1,1,2,180000,working,higher_education,married,house,1,0,0,0,managers,4,37,7,0,49,1
2012,5022565,f,0,1,1,225000,working,higher_education,married,house,1,0,0,0,sales_staff,3,36,4,0,21,1
6139,5041927,m,1,0,0,157500,working,secondary,married,rented_apartment,1,1,1,0,core_staff,2,34,1,0,33,1
3095,5024573,f,0,0,1,90000,working,secondary,married,with_parents,1,0,0,0,laborers,3,29,5,1,26,1
19084,5116009,f,0,1,0,90000,working,secondary,married,house,1,0,0,0,sales_staff,2,50,10,0,25,1
19294,5116418,f,0,1,0,81000,commercial_associate,secondary,married,house,1,1,1,0,sales_staff,2,47,9,0,6,1
8262,5053008,f,0,0,0,157500,working,secondary,single,house,1,0,0,0,medicine_staff,1,53,33,1,38,1
1262,5011024,m,1,1,2,99000,state_servant,secondary,married,with_parents,1,0,0,0,drivers,4,46,9,0,41,1
21637,5132706,f,0,1,0,157500,commercial_associate,secondary,widow,house,1,0,0,0,core_staff,1,47,5,0,8,1
11997,5068982,m,0,1,0,112500,working,higher_education,single,house,1,1,1,0,laborers,1,41,18,0,24,1
21107,5126064,f,0,1,0,94500,state_servant,higher_education,separated,house,1,1,0,0,laborers,1,51,6,0,46,1
6611,5045412,f,1,1,2,180000,commercial_associate,secondary,married,house,1,0,0,0,laborers,4,37,4,1,28,1
13982,5090070,f,1,1,1,157500,working,secondary,civil_marriage,house,1,0,0,0,managers,3,44,7,3,47,1
18009,5113354,f,0,1,0,90000,working,secondary,married,house,1,0,0,0,laborers,2,51,15,0,3,1
1432,5021439,m,0,1,1,135000,working,secondary,married,house,1,0,0,0,drivers,3,27,4,0,6,1
2516,5023506,f,0,1,0,207000,state_servant,secondary,widow,house,1,0,0,0,medicine_staff,1,55,17,0,29,1
1209,5010954,m,1,1,0,337500,commercial_associate,secondary,married,house,1,0,0,0,sales_staff,2,41,4,0,42,1
24350,5148969,m,1,1,0,495000,working,secondary,single,rented_apartment,1,0,0,0,cooking_staff,1,40,15,0,8,1
21399,5126588,f,1,0,0,135000,working,secondary,married,house,1,1,1,0,managers,2,57,21,0,4,1
3576,5026148,f,0,1,1,202500,commercial_associate,incomplete_higher,civil_marriage,house,1,1,1,0,core_staff,3,38,5,0,4,1
337,5009335,f,0,0,0,139500,working,higher_education,separated,house,1,0,0,0,managers,1,45,20,0,10,1
4562,5029721,f,0,1,1,135000,commercial_associate,higher_education,married,house,1,1,0,1,core_staff,3,27,8,0,30,1
11971,5068930,f,0,0,0,270000,working,secondary,civil_marriage,office_apartment,1,1,1,0,sales_staff,2,26,3,0,12,1
19312,5116439,f,1,1,0,202500,working,secondary,married,house,1,0,0,0,sales_staff,2,41,18,0,20,1
3152,5024671,f,0,1,1,180000,working,higher_education,separated,house,1,0,0,0,hr_staff,2,42,5,0,33,1
3146,5024665,f,0,1,0,157500,working,secondary,married,house,1,1,1,0,laborers,2,40,13,0,10,1
15632,5095629,f,0,0,1,171261,state_servant,secondary,single,rented_apartment,1,0,0,0,medicine_staff,2,27,2,4,25,1
19467,5116766,f,0,1,0,121500,working,secondary,married,house,1,0,0,0,laborers,2,61,6,0,4,1
24713,5149587,f,1,1,2,126000,working,secondary,married,house,1,0,0,0,security_staff,4,41,1,0,21,1
5963,5041611,m,1,1,0,270000,working,secondary,married,house,1,0,0,0,laborers,2,34,5,0,36,1
11023,5067240,f,1,1,0,391500,working,secondary,married,house,1,0,0,0,core_staff,2,47,20,0,9,1
16239,5096937,m,0,1,0,180000,working,secondary,married,house,1,0,0,0,laborers,2,55,17,0,8,1
24399,5149076,f,0,1,1,63000,state_servant,secondary,married,house,1,0,0,0,laborers,3,28,3,0,11,1
5610,5038629,f,1,1,0,202500,working,secondary,married,house,1,0,0,0,laborers,2,55,17,0,21,1
11899,5068822,f,1,1,0,157500,working,higher_education,married,house,1,0,0,1,drivers,2,42,10,0,21,1
7407,5048142,m,1,1,0,135000,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,50,11,0,23,1
5117,5036252,f,0,1,2,225000,working,higher_education,married,co-op_apartment,1,0,0,0,laborers,4,43,1,0,2,1
2330,5023105,m,1,1,1,67500,working,secondary,married,house,1,1,0,0,core_staff,3,42,5,0,14,1
12506,5078912,m,0,1,1,202500,commercial_associate,secondary,single,house,1,0,1,0,drivers,2,40,1,0,22,1
18168,5113595,f,0,0,0,81000,working,secondary,civil_marriage,with_parents,1,0,1,0,sales_staff,2,33,8,3,11,1
21698,5132823,m,1,1,1,225000,commercial_associate,secondary,married,house,1,0,0,0,managers,3,31,3,2,6,1
13862,5089792,f,0,1,0,126000,working,secondary,separated,house,1,1,1,0,cleaning_staff,1,60,4,1,39,1
22139,5135959,f,0,0,2,157500,working,higher_education,married,house,1,0,0,0,sales_staff,4,32,8,0,28,1
19036,5115937,f,0,1,0,180000,working,higher_education,civil_marriage,house,1,0,1,0,managers,2,26,2,0,11,1
4490,5029614,f,0,1,0,135000,working,secondary,married,house,1,0,0,0,waiters,2,44,3,0,22,1
1197,5010931,f,1,1,2,270000,working,secondary,civil_marriage,house,1,0,0,1,core_staff,4,35,2,0,5,1
4122,5028899,m,1,1,0,270000,working,lower_secondary,separated,house,1,1,0,0,laborers,1,53,11,0,34,1
7294,5047953,m,0,0,0,146250,working,secondary,single,rented_apartment,1,0,0,0,laborers,1,26,2,2,22,1
10674,5066536,m,1,1,1,900000,working,secondary,married,co-op_apartment,1,0,0,0,managers,3,43,4,0,17,1
7281,5047924,m,1,1,0,202500,commercial_associate,secondary,married,house,1,0,1,0,cooking_staff,2,49,6,0,11,1
2023,5022583,f,0,1,0,202500,working,secondary,single,house,1,0,1,0,core_staff,1,49,28,0,50,1
3942,5028546,m,0,1,0,99000,commercial_associate,incomplete_higher,civil_marriage,rented_apartment,1,0,0,0,laborers,2,30,2,0,13,1
6751,5045735,m,1,0,0,292500,working,higher_education,single,house,1,0,0,0,drivers,1,29,1,0,7,1
4239,5029120,f,0,1,0,123750,working,secondary,married,house,1,0,0,0,cleaning_staff,2,46,2,0,18,1
5771,5041081,f,0,0,3,112500,working,higher_education,married,house,1,0,0,0,laborers,5,34,9,0,23,1
17958,5113284,f,1,1,2,121500,working,incomplete_higher,married,house,1,1,1,0,core_staff,4,32,1,0,15,1
12346,5074548,m,1,1,0,54000,working,secondary,married,house,1,1,1,0,security_staff,2,55,3,0,14,1
23347,5143015,m,0,0,0,180000,commercial_associate,secondary,civil_marriage,rented_apartment,1,0,0,0,laborers,2,40,9,0,17,1
11132,5067468,f,0,1,1,247500,commercial_associate,secondary,civil_marriage,house,1,0,0,1,laborers,3,32,5,0,8,1
3254,5024845,f,0,1,0,157500,working,higher_education,single,house,1,0,0,0,high_skill_tech_staff,1,32,2,0,14,1
11903,5068827,f,1,1,0,157500,working,higher_education,married,house,1,0,0,1,drivers,2,42,10,0,21,1
24183,5148671,m,1,1,1,810000,commercial_associate,incomplete_higher,civil_marriage,office_apartment,1,0,0,0,security_staff,3,50,10,0,9,1
16580,5100136,m,1,1,0,117000,working,secondary,civil_marriage,house,1,0,0,0,drivers,2,35,14,0,10,1
15155,5092254,m,1,1,0,112500,working,secondary,married,house,1,0,0,0,drivers,2,48,4,1,32,1
23856,5146057,f,0,1,0,157500,working,secondary,separated,house,1,0,0,0,laborers,1,54,1,0,41,1
8701,5053839,f,0,1,0,112500,state_servant,secondary,married,house,1,0,0,0,high_skill_tech_staff,2,52,18,0,51,1
4972,5035558,m,1,0,0,225000,working,secondary,married,house,1,0,0,0,managers,2,45,12,1,11,1
23292,5142911,f,0,0,1,292500,working,incomplete_higher,married,house,1,1,1,0,sales_staff,3,35,12,0,25,1
11976,5068935,m,1,1,2,225000,working,secondary,married,house,1,0,0,1,security_staff,4,42,13,1,6,1
5669,5038767,f,0,1,1,112500,working,secondary,married,house,1,0,0,0,laborers,3,38,15,0,28,1
3203,5024753,f,0,1,0,247500,commercial_associate,secondary,married,house,1,0,0,0,medicine_staff,2,45,24,0,34,1
20473,5118540,f,0,1,1,81000,working,secondary,married,municipal_apartment,1,1,1,0,cleaning_staff,3,44,18,0,44,1
3462,5025260,f,1,1,0,112500,commercial_associate,higher_education,married,with_parents,1,0,0,0,accountants,2,35,15,0,49,1
18146,5113562,f,0,1,0,171000,working,secondary,married,house,1,1,1,0,sales_staff,2,42,6,0,55,1
6651,5045536,m,1,0,2,225000,state_servant,higher_education,married,with_parents,1,0,0,0,high_skill_tech_staff,4,30,5,0,12,1
10234,5062635,m,0,1,0,405000,working,higher_education,married,house,1,1,0,0,laborers,2,44,14,0,25,1
24630,5149461,m,1,1,0,238500,working,higher_education,married,with_parents,1,0,0,0,laborers,2,34,8,0,8,1
1479,5021510,f,0,1,0,144000,state_servant,secondary,married,house,1,0,1,0,high_skill_tech_staff,2,50,28,0,23,1
10623,5066441,m,1,1,0,157500,working,secondary,married,house,1,0,0,1,drivers,2,48,2,1,36,1
14019,5090146,f,0,0,1,162000,state_servant,higher_education,civil_marriage,house,1,1,0,0,secretaries,3,29,3,0,9,1
22794,5142085,f,1,1,0,112500,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,55,5,0,5,1
24119,5148459,f,0,0,0,135000,working,secondary,civil_marriage,house,1,0,0,0,laborers,2,52,30,0,5,1
1035,5010675,f,0,1,2,225000,working,secondary,civil_marriage,house,1,0,0,0,sales_staff,4,36,2,0,9,1
12962,5087500,f,1,1,0,157500,commercial_associate,higher_education,civil_marriage,house,1,1,1,0,managers,2,42,3,0,7,1
22055,5135809,f,0,1,0,90000,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,54,8,0,29,1
7997,5051132,f,0,0,0,450000,commercial_associate,higher_education,single,house,1,0,0,0,core_staff,1,28,1,6,3,0
7136,5046552,f,0,1,0,90000,working,higher_education,separated,house,1,1,1,0,laborers,1,50,2,0,54,1
6437,5044940,m,0,1,2,360000,state_servant,higher_education,married,house,1,0,1,0,managers,4,44,16,0,12,1
18713,5114631,f,0,1,0,81000,working,secondary,married,house,1,1,0,0,sales_staff,2,55,1,0,37,1
3601,5026200,m,0,1,0,112500,working,secondary,married,house,1,0,0,0,security_staff,2,52,10,0,8,1
12395,5074706,f,0,1,0,157500,working,higher_education,single,house,1,0,0,0,laborers,1,61,30,0,4,1
14003,5090120,f,0,0,1,126000,state_servant,higher_education,single,house,1,1,0,0,managers,2,44,25,0,18,1
2431,5023309,m,1,0,1,225000,working,secondary,married,house,1,0,0,0,laborers,3,29,6,0,42,1
18704,5114603,f,0,1,1,180000,commercial_associate,higher_education,separated,house,1,0,0,1,managers,2,48,16,0,36,1
2747,5023941,m,1,1,1,157500,commercial_associate,secondary,married,house,1,0,0,0,cooking_staff,3,25,7,0,3,1
22644,5139731,f,0,1,0,135000,working,secondary,married,house,1,0,0,0,cleaning_staff,2,57,7,0,9,1
6690,5045633,f,0,1,1,270000,state_servant,secondary,married,house,1,0,0,0,medicine_staff,3,40,7,0,6,1
4867,5033887,m,1,1,1,135000,working,secondary,married,house,1,0,1,0,laborers,3,31,5,0,49,1
14056,5090224,f,0,0,0,112500,working,secondary,married,house,1,1,0,0,low-skill_laborers,2,32,7,0,15,1
18970,5115813,f,1,1,2,90000,working,higher_education,married,house,1,1,1,0,accountants,4,32,6,0,38,1
10408,5065489,f,0,1,0,112500,commercial_associate,secondary,civil_marriage,house,1,1,1,0,medicine_staff,2,35,3,0,13,1
22102,5135893,f,0,1,2,90000,state_servant,secondary,civil_marriage,house,1,1,0,0,core_staff,4,35,8,0,42,1
10945,5067125,f,1,1,4,112500,working,secondary,married,house,1,0,0,0,medicine_staff,6,38,12,0,21,1
20230,5118131,m,1,0,2,135000,working,higher_education,married,with_parents,1,0,1,0,laborers,4,32,14,0,32,1
1018,5010655,m,1,1,2,270000,working,secondary,married,house,1,0,0,0,laborers,4,37,12,0,22,1
2129,5022754,f,0,0,1,202500,commercial_associate,secondary,separated,house,1,0,0,0,sales_staff,2,30,9,0,29,1
17167,5105615,f,1,1,2,135000,working,higher_education,married,house,1,0,0,0,accountants,4,34,2,0,20,1
16938,5105186,m,0,1,0,315000,commercial_associate,higher_education,single,house,1,0,0,1,laborers,1,29,2,0,3,1
15368,5095033,m,1,1,0,202500,commercial_associate,higher_education,married,house,1,0,0,0,drivers,2,43,5,0,5,1
22423,5137362,m,1,0,0,135000,working,secondary,married,house,1,1,1,0,drivers,2,48,11,0,14,1
12274,5069440,f,0,1,0,135000,working,secondary,single,house,1,0,0,0,sales_staff,1,24,3,0,3,1
5835,5041221,m,0,1,0,270000,working,secondary,single,house,1,0,0,0,laborers,1,30,1,0,19,1
22185,5136914,m,0,0,1,360000,working,secondary,married,house,1,1,0,1,managers,3,42,8,0,15,1
12559,5078996,f,0,1,0,129150,commercial_associate,secondary,single,house,1,0,0,0,drivers,1,38,7,0,6,1
24767,5149675,f,1,1,3,405000,working,secondary,married,house,1,0,0,0,accountants,5,39,11,0,45,1
23195,5142754,f,0,0,0,67500,commercial_associate,secondary,married,house,1,1,0,0,sales_staff,2,48,4,0,20,1
7105,5046503,f,0,1,0,256500,commercial_associate,higher_education,separated,house,1,0,0,0,managers,1,54,3,0,25,1
5282,5036707,m,1,1,0,180000,working,secondary,married,house,1,0,0,0,laborers,2,47,5,0,6,1
24296,5148871,f,0,1,0,135000,state_servant,incomplete_higher,married,house,1,0,0,0,core_staff,2,43,10,0,4,1
11849,5068744,f,0,1,3,225000,commercial_associate,secondary,single,house,1,0,0,0,laborers,4,33,14,0,8,1
14369,5090869,m,0,1,0,112500,working,secondary,married,house,1,1,0,0,laborers,2,58,4,0,40,1
1044,5010684,m,1,1,0,292500,working,higher_education,married,house,1,0,0,0,managers,2,29,7,0,16,1
18772,5115461,m,0,0,0,157500,commercial_associate,higher_education,civil_marriage,house,1,1,0,0,waiters,2,26,1,0,26,1
9933,5061988,f,0,1,0,135000,working,higher_education,married,house,1,0,0,0,laborers,2,37,5,0,13,1
20222,5118114,m,0,0,1,270000,commercial_associate,secondary,married,house,1,1,1,0,drivers,3,38,15,0,13,1
15638,5095636,f,0,0,0,128543,commercial_associate,higher_education,single,rented_apartment,1,1,0,1,sales_staff,1,26,2,0,18,1
13345,5088917,f,0,1,1,157500,working,secondary,married,house,1,0,0,0,laborers,3,35,16,0,53,1
18133,5113536,f,0,1,0,157500,working,secondary,married,house,1,0,0,0,laborers,2,58,5,0,17,1
15961,5096254,m,0,0,2,247500,working,secondary,married,office_apartment,1,1,1,0,laborers,4,39,9,0,5,1
21412,5126605,f,0,0,0,157500,commercial_associate,higher_education,civil_marriage,house,1,1,1,0,accountants,2,28,1,0,32,1
24056,5146530,f,1,0,1,67500,state_servant,secondary,married,house,1,0,0,0,core_staff,3,42,4,0,14,1
8890,5054174,m,1,0,1,135000,working,higher_education,married,house,1,1,0,0,managers,3,34,5,0,34,1
22225,5136975,f,0,0,0,306000,state_servant,higher_education,married,house,1,0,0,0,medicine_staff,2,35,16,0,5,1
12051,5069058,m,1,0,0,225000,commercial_associate,secondary,married,house,1,0,0,0,laborers,2,49,7,0,56,1
20359,5118361,f,0,0,0,135000,working,higher_education,married,house,1,1,0,0,core_staff,2,30,4,0,25,1
11032,5067249,f,1,1,0,391500,working,secondary,married,house,1,0,0,0,core_staff,2,47,20,1,48,1
15942,5096223,f,0,0,1,63000,working,secondary,married,house,1,1,0,0,sales_staff,3,37,3,0,47,1
10774,5066817,f,1,0,1,360000,working,higher_education,widow,house,1,0,0,1,managers,2,46,12,1,10,1
22100,5135889,m,1,1,0,90000,working,incomplete_higher,married,house,1,0,1,0,drivers,2,52,9,0,3,1
21845,5135500,f,1,1,0,202500,working,higher_education,single,house,1,1,0,0,laborers,1,50,5,1,13,1
4957,5035496,f,1,0,0,405000,state_servant,higher_education,single,house,1,0,1,0,managers,1,55,3,0,2,1
21379,5126554,f,0,0,1,157500,working,secondary,married,house,1,1,1,0,laborers,3,27,5,1,10,1
1246,5011002,f,1,1,0,157500,working,secondary,married,house,1,0,0,1,sales_staff,2,30,6,0,35,1
22626,5139649,f,0,1,0,121500,commercial_associate,secondary,married,co-op_apartment,1,0,1,0,sales_staff,2,33,5,0,23,1
9072,5054484,f,0,1,0,103500,working,secondary,married,house,1,0,0,0,medicine_staff,2,44,4,0,54,1
332,5009329,m,1,0,0,267750,working,higher_education,married,house,1,0,1,0,laborers,2,58,13,0,18,1
7182,5047684,m,1,1,0,135000,working,higher_education,married,house,1,1,1,0,sales_staff,2,25,2,0,10,1
